Aerosol,Litter
Aluminium foil,Litter
Battery,Litter
Aluminium blister pack,Litter
Carded blister pack,Litter
Clear plastic bottle,Litter
Glass bottle,Litter
Other plastic bottle,Litter
Plastic bottle cap,Litter
Metal bottle cap,Litter
Broken glass,Litter
Drink can,Litter
Food Can,Litter
Corrugated carton,Litter
Drink carton,Litter
Egg carton,Litter
Meal carton,Litter
Other carton,Litter
Paper cup,Litter
Disposable plastic cup,Litter
Foam cup,Litter
Glass cup,Litter
Other plastic cup,Litter
Food waste,Litter
Plastic lid,Litter
Metal lid,Litter
Magazine paper,Litter
Tissues,Litter
Wrapping paper,Litter
Normal paper,Litter
Paper bag,Litter
Plastified paper bag,Litter
Pizza box,Litter
Garbage bag,Litter
Single-use carrier bag,Litter
Polypropylene bag,Litter
Produce bag,Litter
Cereal bag,Litter
Bread bag,Litter
Plastic film,Litter
Crisp packet,Litter
Other plastic wrapper,Litter
Retort pouch,Litter
Spread tub,Litter
Tupperware,Litter
Disposable food container,Litter
Foam food container,Litter
Other plastic container,Litter
Plastic glooves,Litter
Plastic utensils,Litter
Pop tab,Litter
Rope & strings,Litter
Scrap metal,Litter
Shoe,Litter
Six pack rings,Litter
Squeezable tube,Litter
Plastic straw,Litter
Paper straw,Litter
Styrofoam piece,Litter
Toilet tube,Litter
Unlabeled litter,Litter
Glass jar,Litter
Other plastic,Litter
Cigarette,Litter
