Aerosol,Can
Aluminium foil,Other
Battery,Other
Aluminium blister pack,Other
Carded blister pack,Other
Clear plastic bottle,Bottle
Glass bottle,Bottle
Other plastic bottle,Bottle
Plastic bottle cap,Other
Metal bottle cap,Other
Broken glass,Other
Drink can,Can
Food Can,Can
Corrugated carton,Other
Drink carton,Other
Egg carton,Other
Meal carton,Other
Other carton,Other
Paper cup,Other
Disposable plastic cup,Other
Foam cup,Other
Glass cup,Other
Other plastic cup,Other
Food waste,Other
Plastic lid,Other
Metal lid,Other
Magazine paper,Other
Tissues,Other
Wrapping paper,Other
Normal paper,Other
Paper bag,Other
Plastified paper bag,Other
Pizza box,Other
Garbage bag,Plastic bag + wrapper
Single-use carrier bag,Plastic bag + wrapper
Polypropylene bag,Plastic bag + wrapper
Produce bag,Plastic bag + wrapper
Cereal bag,Plastic bag + wrapper
Bread bag,Plastic bag + wrapper
Plastic film,Plastic bag + wrapper
Crisp packet,Plastic bag + wrapper
Other plastic wrapper,Plastic bag + wrapper
Retort pouch,Plastic bag + wrapper
Spread tub,Other
Tupperware,Other
Disposable food container,Other
Foam food container,Other
Other plastic container,Other
Plastic glooves,Other
Plastic utensils,Other
Pop tab,Other
Rope & strings,Other
Scrap metal,Other
Shoe,Other
Six pack rings,Plastic bag + wrapper
Squeezable tube,Other
Plastic straw,Other
Paper straw,Other
Styrofoam piece,Other
Toilet tube,Other
Unlabeled litter,Other
Glass jar,Other
Other plastic,Other
Cigarette,Other
