Aerosol,Can
Aluminium foil,Other
Battery,Other
Aluminium blister pack,Other
Carded blister pack,Other
Clear plastic bottle,Bottle
Glass bottle,Bottle
Other plastic bottle,Bottle
Plastic bottle cap,Bottle cap
Metal bottle cap,Bottle cap
Broken glass,Other
Drink can,Can
Food Can,Can
Corrugated carton,Other
Drink carton,Other
Egg carton,Other
Meal carton,Other
Other carton,Other
Paper cup,Cup
Disposable plastic cup,Cup
Foam cup,Cup
Glass cup,Cup
Other plastic cup,Cup
Food waste,Other
Plastic lid,Lid
Metal lid,Lid
Magazine paper,Other
Tissues,Other
Wrapping paper,Other
Normal paper,Other
Paper bag,Other
Plastified paper bag,Other
Pizza box,Other
Garbage bag,Plastic bag + wrapper
Single-use carrier bag,Plastic bag + wrapper
Polypropylene bag,Plastic bag + wrapper
Produce bag,Plastic bag + wrapper
Cereal bag,Plastic bag + wrapper
Bread bag,Plastic bag + wrapper
Plastic film,Plastic bag + wrapper
Crisp packet,Plastic bag + wrapper
Other plastic wrapper,Plastic bag + wrapper
Retort pouch,Plastic bag + wrapper
Spread tub,Other
Tupperware,Other
Disposable food container,Other
Foam food container,Other
Other plastic container,Other
Plastic glooves,Other
Plastic utensils,Other
Pop tab,Pop tab
Rope & strings,Other
Scrap metal,Other
Shoe,Other
Six pack rings,Plastic bag + wrapper
Squeezable tube,Other
Plastic straw,Straw
Paper straw,Straw
Styrofoam piece,Other
Toilet tube,Other
Unlabeled litter,Other
Glass jar,Other
Other plastic,Other
Cigarette,Cigarette
