Aerosol,Can
Aluminium foil,Aluminium foil
Battery,Other
Aluminium blister pack,Other
Carded blister pack,Other
Clear plastic bottle,Plastic bottle
Glass bottle,Glass bottle
Other plastic bottle,Plastic bottle
Plastic bottle cap,Plastic bottle cap
Metal bottle cap,Metal bottle cap
Broken glass,Other
Drink can,Can
Food Can,Can
Corrugated carton,Carton
Drink carton,Carton
Egg carton,Carton
Meal carton,Carton
Other carton,Carton
Paper cup,Cup
Disposable plastic cup,Cup
Foam cup,Cup
Glass cup,Cup
Other plastic cup,Cup
Food waste,Other
Plastic lid,Plastic lid
Metal lid,Other
Magazine paper,Paper
Tissues,Paper
Wrapping paper,Paper
Normal paper,Paper
Paper bag,Paper
Plastified paper bag,Paper
Pizza box,Carton
Garbage bag,Plastic film
Single-use carrier bag,Plastic film
Polypropylene bag,Plastic film
Produce bag,Plastic film
Cereal bag,Plastic film
Bread bag,Plastic film
Plastic film,Plastic film
Crisp packet,Wrapper
Other plastic wrapper,Wrapper
Retort pouch,Wrapper
Spread tub,Plastic container
Tupperware,Plastic container
Disposable food container,Plastic container
Foam food container,Plastic container
Other plastic container,Plastic container
Plastic glooves,Other
Plastic utensils,Other
Pop tab,Pop tab
Rope & strings,Other
Scrap metal,Other
Shoe,Other
Six pack rings,Plastic film
Squeezable tube,Other
Plastic straw,Straw
Paper straw,Straw
Styrofoam piece,Styrofoam piece
Toilet tube,Carton
Unlabeled litter,Other
Glass jar,Other
Other plastic,Other
Cigarette,Other
